Gene_ID	Gene_Name
ENSMUSG00000090356	Teddm3
ENSMUSG00000060568	Fam78b
ENSMUSG00000034266	Batf
ENSMUSG00000062169	Cnih4
ENSMUSG00000070110	Mir504
ENSMUSG00000024118	Tedc2
ENSMUSG00000005204	Senp3
ENSMUSG00000066324	Impad1
ENSMUSG00000064725	Snord96a
ENSMUSG00000038408	1700018A04Rik
ENSMUSG00000039358	Drd5
ENSMUSG00000109572	Cfap99
ENSMUSG00000075209	Olfr1016
ENSMUSG00000056728	Ctsll3
ENSMUSG00000034118	Tpst1
ENSMUSG00000066800	Rnasel
ENSMUSG00000030876	Mettl9
ENSMUSG00000044997	E130304I02Rik
ENSMUSG00000020400	Tnip1
ENSMUSG00000003573	Homer3
ENSMUSG00000021335	Slc17a1
ENSMUSG00000020235	Fzr1
ENSMUSG00000040729	Cep126
ENSMUSG00000030824	Nucb1
ENSMUSG00000037762	Slc16a9
ENSMUSG00000042595	Fam199x
ENSMUSG00000030873	Scnn1b
ENSMUSG00000044528	Tram1l1
ENSMUSG00000031997	Trpc6
ENSMUSG00000071291	Zfp58
ENSMUSG00000037953	A4gnt
ENSMUSG00000026788	Zbtb43
ENSMUSG00000039005	Tlr4
ENSMUSG00000094535	Olfr850
ENSMUSG00000056069	Otulinl
ENSMUSG00000004891	Nes
ENSMUSG00000055567	Unc80
ENSMUSG00000026504	Sdccag8
ENSMUSG00000087305	A430035B10Rik
ENSMUSG00000045932	Ifit2
ENSMUSG00000040472	Rabggta
ENSMUSG00000029445	Hpd
ENSMUSG00000026678	Rgs5
ENSMUSG00000028738	Tas1r2
ENSMUSG00000050428	Fbxo46
ENSMUSG00000071793	2610005L07Rik
ENSMUSG00000026213	Stk11ip
ENSMUSG00000024712	Rfk
ENSMUSG00000088860	Mir1947
ENSMUSG00000044098	Rsbn1
ENSMUSG00000086290	Snhg12
ENSMUSG00000020325	Fstl3
ENSMUSG00000021732	Fgf10
ENSMUSG00000063760	Rnf217
ENSMUSG00000063849	Ppcdc
ENSMUSG00000078784	Rbis
ENSMUSG00000091735	Gpr62
ENSMUSG00000045665	Mfsd5
ENSMUSG00000075402	Krt76
ENSMUSG00000065498	Mir379
ENSMUSG00000068391	Chrac1
ENSMUSG00000068732	Tmem167b
ENSMUSG00000055333	Fat2
ENSMUSG00000037922	Bank1
ENSMUSG00000039315	Clnk
ENSMUSG00000033952	Aspm
ENSMUSG00000041789	2700046A07Rik
ENSMUSG00000075437	Gm11681
ENSMUSG00000046879	Irgm1
ENSMUSG00000075010	AW112010
ENSMUSG00000028551	Cdkn2c
ENSMUSG00000108414	Snhg1
